cell id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20171204_sample_2,0.65570483,1.17171312,1.44174855,0.63164227,0.58819598,0.50798743,0.92039302,1.65229597,2.64153466,3.8760778,4.60731235,1.01463806,0.29075597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171204_sample_4,0.0,0.1286213,0.59410792,0.39933852,0.57695841,0.869725,2.52587738,1.46505788,2.18288724,7.43921112,3.25718136,0.56103387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171204_sample_5,0.66793574,1.28577631,0.97451825,0.32060916,0.32862439,1.04665531,1.59837024,2.17947433,5.06495675,5.18585312,1.29646328,0.05076312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171204_sample_6,0.9880726,1.39809853,0.92169404,0.38997407,0.62644771,1.51356958,2.09023336,5.03854797,4.48262748,2.42765774,0.12307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171207_sample_1,0.0,0.0,0.33208087,0.50814099,0.59760243,0.68563249,0.74360351,0.43299338,1.2095187,2.43335123,1.5981392,3.11755233,5.25317588,2.7060297,0.38217928,0.0,0.0,0.0,0.0,0.0
20171207_sample_2,1.68450121,4.74230636,0.97554499,0.41847004,0.32288043,0.87942434,1.06157564,1.61121585,2.43169326,4.35516848,1.42747139,0.08974802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171207_sample_6,1.58093797,1.72239032,0.76475038,0.62027231,0.65128593,0.63691377,0.63237519,0.8623298,1.24432678,3.78366112,5.66414523,1.8366112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171207_sample_7,0.67935044,1.10214279,0.55155184,0.38531757,0.90900356,2.08225233,1.37215336,2.62035169,4.03478428,4.27020275,1.85259921,0.14029019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171219_sample_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33935908,11.16064092,6.08052588,1.41947412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171219_sample_2,2.65145167,1.35702667,0.66150737,0.30265687,0.52053039,0.14984966,1.62222113,3.15275792,3.79997042,3.85961453,1.92241337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171219_sample_3,0.0,0.0,0.0,0.00945329,0.3962502,0.35528596,0.37104144,0.8523712,8.0313534,8.49692768,1.48731684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171219_sample_6,0.04330297,1.28042407,1.30282216,0.38972674,0.50769001,0.96759743,1.25951919,7.62281619,6.34089891,0.28520233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
