cell id,AP Fano factor,AP amplitude (mV),AP amplitude adaptation index,AP amplitude average adaptation index,AP coefficient of variation,AP threshold (mV),AP width (ms),Afterdepolarization (mV),Afterhyperpolarization (mV),Burstiness,ISI Fano factor,ISI adaptation index,ISI average adaptation index,ISI coefficient of variation,Input resistance (MOhm),Latency (ms),Latency @ +20pA current (ms),Max number of APs,Membrane time constant (ms),Rebound (mV),Rebound number of APs,Resting membrane potential (mV),Rheobase (pA),Sag area (mV*s),Sag ratio,Sag time (s),Spike frequency adaptation,Upstroke-to-downstroke ratio,Wildness
20200407_sample_19,0.5500024438781204,53.2207265496254,0.939902217136979,0.9957478600416413,0.10961230048100337,-26.862258091568947,0.4800000000000082,0.0,-20.641108974814415,0.0,0.00014356015443138566,1.1016042780748678,1.022095953198821,0.13561068212932348,146.2872569809357,22.48,13.679999999999998,77,4.860094041986165,2.043298049298528,0,-65.67023690640926,140.0,0.0,1.1065159059727936,0.0,0.8333333333333334,0.9703868212853419,0.0
20200403_sample_6,2.706320399682976,63.56213428080082,0.9799067686865885,0.9785611395238558,0.2636316932344682,-38.859087973833084,0.7199999999999984,0.0,-13.408593833446503,0.0,0.0014881835262155123,1.054474708171204,1.0895359345507074,0.2898497905184847,227.63490195146636,52.64000000000002,28.960000000000015,33,15.04893552305004,17.50503931079531,3,-66.51407674998045,21.714285714285694,57.964478965848876,1.604509837375327,0.50552,0.65,1.246675608731384,0.0
20200408_sample_5,0.962007654536592,71.92474976181984,0.927331664511784,0.9827841677278598,0.14685299620997178,-39.03241083025932,0.5600000000000049,0.0,-11.304397135972977,0.0,0.0014395263343143635,1.2709677419354841,1.1222276080256501,0.2955003594196256,168.8023792393505,33.20000000000001,20.52000000000001,37,14.909134689088312,2.82446722345221,0,-54.70130370557308,60.0,45.141160559356415,1.2860437179207904,0.5200800000000001,0.6818181818181818,1.2950334172590494,0.0
20200406_sample_16,1.43346469946198,62.79030069708824,0.9651179031270094,0.990123906546872,0.19827241468110923,-39.25001993775368,0.5199999999999927,0.0,-10.08274033665657,0.0,0.0009086926857771373,1.0371517027863806,1.1048138506107315,0.27378674577763795,136.79489170759913,93.4,58.28,49,13.639737369328712,2.4673639543201418,0,-65.33217861801386,68.0,0.0,1.1613831396247012,0.0,0.6333333333333333,1.23016986299705,0.0
20200406_sample_2,0.6923104380699133,60.5989433825016,0.9408533796197961,0.9946408313172517,0.12353021299919786,-40.89789837598801,0.43999999999999595,0.0,-22.037364542484283,0.0,6.017788879570749e-05,0.9066985645933011,2.0336356872500176,0.10229867931324496,159.5616165759663,159.64000000000004,18.280000000000005,105,13.215338049350084,1.1110071719698382,0,-62.19325854703784,97.4468085106383,0.0,1.1242501851347404,0.0,0.9622641509433962,0.8512567426760062,0.0
20200406_sample_5,1.837124267398128,71.15396112203598,0.9159659869776664,0.963760751774412,0.20216481994545604,-43.66490617394447,0.5599999999999772,0.0,-8.153386414051056,0.5517774343122099,0.03947822249640141,1.5900216919739678,1.6655924007303227,1.0684591635998903,176.0910072204258,89.04,31.840000000000007,16,13.790823163048131,0.7540930016227136,0,-61.26296316161752,48.57142857142858,0.0,1.0662331651251808,0.0,0.6,1.3865372273864855,0.0
20200406_sample_17,0.9889702667199327,62.18240037560463,0.962889307102397,0.9965563426276197,0.14551965070954206,-36.93757578730583,0.4400000000000237,0.0,-24.427637457847595,0.0,0.00012522970873287437,1.0164203612479479,1.0185017394542084,0.14988638776588462,188.0189495657881,37.20000000000001,24.000000000000007,108,9.592669648620193,2.464674754080278,0,-68.45916677862405,96.32183908045978,0.0,1.0970258811597047,0.0,0.9285714285714286,0.9501612754062145,0.0
20200409_sample_20,3.7652510024064707,75.18745586276054,0.9457986120430123,0.9898560279330454,0.3021910707884523,-37.56210207939148,0.5199999999999927,0.0,-11.70995831489563,0.0,0.008535829788989062,1.2075289575289574,1.1864684443937699,0.7851410862445183,203.29346779113013,36.64000000000001,21.159999999999997,42,10.725474407296998,0.5475185157351135,0,-57.11252845004201,60.0,0.0,1.059112644394664,0.0,0.5769230769230769,1.2876096992631363,0.0
20200413_sample_10,6.45944659489796,61.714423820376396,0.7044100468982251,0.7572386613156619,0.36243235261403306,-29.191171750426292,0.7999999999999952,0.0,-7.60219432413578,0.0,0.00417631031922791,1.7493150684931509,1.6385809312638588,0.29529687316726616,44.89397522062065,80.56000000000002,54.68000000000001,4,11.162155454935357,0.49311397546496494,0,-65.7900791913271,380.0,0.0,1.1057686271671958,0.0,,2.037205889079316,0.0
20200407_sample_16,1.9428620563067702,67.03063286840916,0.9538115842427601,0.9894825821511335,0.2097201388933053,-36.6484634578228,0.5199999999999927,0.0,-18.271449953317642,0.0,0.00035773898021890997,1.1105710814094767,1.2494557903503773,0.1851672975662025,164.4524892146389,38.84000000000001,26.880000000000017,58,10.650320889910269,4.425637763737036,0,-61.93076316714287,98.15384615384616,44.19205990418789,1.2599619720995467,0.4692400000000001,0.8387096774193549,1.1284339429482622,0.0
