Number	Cell	Slice	Date	Sample	Mouse	Mouse date of birth	Mouse age	Mouse gender	Mouse genotype	Targeted layer	Inferred layer	Cre	Exon reads	Intron reads	Intergenic reads	Sequencing batch	Number of genes detected	RNA class	RNA type	RNA type confidence	RNA type top-3	ALM/VISp top-3	Length (bp)	Yield (pg/µl)	User	Hold Time (min)	Soma depth (µm)	Soma depth (4x)	Cortical thickness (4x)	Cortical thickness (µm)	Traced	Exclusion reasons	Pipette Resistance (MΩ)	Access Resistance (MΩ)	Seal Resistance (MΩ)	Recording Temperature (˚C)
1	20200403_sample_1	20200403_slice_1	2020-04-03	sample 1	mouse_KIYRP	2020-01-31	63	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1463503	538477	79750	12	9480	Sst	Sst Myh8_1	0.98	Sst Myh8_1 (98.4%)	Sst Chrna2 Glra3 (100.0%)	1949	191.26	Fede, Ray	8	721	0	0	1699			2.91	22.9	256.9	33-34
2	20200403_sample_2	20200403_slice_1	2020-04-03	sample 2	mouse_KIYRP	2020-01-31	63	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1360578	569326	72486	12	9363	Sst	Sst Hpse	0.97	Sst Hpse (97.3%)	Sst Hpse Cbln4 (100.0%)	2011	163.46	Fede, Ray	6	709	0	0	1699			30.7	11.3	145	33-34
3	20200403_sample_3	20200403_slice_1	2020-04-03	sample 3	mouse_KIYRP	2020-01-31	63	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1588966	250364	62128	12	9944	Sst	Sst Hpse	0.86	Sst Hpse (86.1%), Sst Htr1a (12.4%)	Sst Hpse Cbln4 (90.0%), Sst Hpse Sema3c (10.0%)	1833	246.54	Fede, Ray	6	632	0	0	1699			3.07	26.5	266.5	33-34
4	20200403_sample_4	20200403_slice_1	2020-04-03	sample 4	mouse_KIYRP	2020-01-31	63	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	700843	819187	78520	12	9066	Pvalb	Pvalb Calb1_1	0.80	Pvalb Calb1_1 (80.4%), Sst Crhr2_1 (8.3%), Pvalb Kank4 (4.7%)	Pvalb Th Sst (65.0%), Sst Crh 4930553C11Rik  (30.0%)	1992	192.6	Fede, Ray	9	1216	0	0	1699			3.24	13.7	143.8	33-34
5	20200403_sample_5	20200403_slice_2	2020-04-03	sample 5	mouse_KIYRP	2020-01-31	63	M	Sst-IRES-Cre/wt; Ai9/wt	5	2/3	SST+	522714	71242	22173	12	10032	Sst	Sst Pvalb Calb2	0.97	Sst Pvalb Calb2 (97.0%)	Sst Mme Fam114a1 (55.0%), Sst Tac1 Htr1d (45.0%)	2113	345.79	Fede, Ray	6	515	0	0	1805			2.94	15.7	180.1	33-34
6	20200403_sample_6	20200403_slice_2	2020-04-03	sample 6	mouse_KIYRP	2020-01-31	63	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1154604	326822	47373	12	9276	Sst	Sst Crhr2_2	0.60	Sst Crhr2_2 (59.6%), Sst Myh8_1 (20.9%), Sst Penk (15.7%)	Sst Esm1 (54.0%), Sst Chrna2 Glra3 (44.0%)	2031	213.92	Fede, Ray	6	1104	0	0	1805			3	18.9	228.5	33-34
7	20200403_sample_7	20200403_slice_2	2020-04-03	sample 7	mouse_KIYRP	2020-01-31	63	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	745502	909961	95243	12	8673	Sst	Sst Hpse	0.75	Sst Hpse (75.1%), Sst Htr1a (24.9%)	Sst Hpse Cbln4 (69.0%), Sst Hpse Sema3c (31.0%)	2104	166.86	Fede, Ray	6	780	0	0	1805			3.07	24.9	139	33-34
8	20200403_sample_8	20200403_slice_2	2020-04-03	sample 8	mouse_KIYRP	2020-01-31	63	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2536661	408514	102818	12	11623	Sst	Sst Crhr2_1	0.88	Sst Crhr2_1 (88.0%), Sst Myh8_3 (9.0%)	Sst Crhr2 Efemp1 (98.0%)	2120	396.08	Fede, Ray	8	1127	0	0	1805			3.78	23.9	202	33-34
9	20200403_sample_9	20200403_slice_2	2020-04-03	sample 9	mouse_KIYRP	2020-01-31	63	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1238044	516854	72161	12	9355	Sst	Sst Etv1	0.52	Sst Etv1 (52.1%), Sst Myh8_1 (38.4%), Sst Htr1a (3.1%)	Sst Myh8 Etv1  (37.0%), Sst Chrna2 Ptgdr (37.0%), Sst Chrna2 Glra3 (15.0%)	2120	182.18	Fede, Ray	8	850	0	0	1805			3.2	24	278	33-34
10	20200403_sample_10	20200403_slice_3	2020-04-03	sample 10	mouse_KIYRP	2020-01-31	63	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	762886	1243626	128355	12	9072	Sst	Sst Pvalb Etv1	0.51	Sst Pvalb Etv1 (51.1%), Sst Etv1 (36.7%), Sst Myh8_1 (7.7%)	Sst Nr2f2 Necab1 (100.0%)	2155	188.65	Fede, Ray	8	1064	0	0	1782			3.78	20.4	117.4	33-34
