,Ephys t-SNE x,Ephys t-SNE y,Morph t-SNE x,Moprh t-SNE y,Morphoelectric t-SNE x,Morphoelectric t-SNE y
20171204_sample_2,32.98,-30.54,39.88,15.38,24.94,13.32
20171204_sample_4,32.72,-31.22,34.11,10.69,24.09,12.44
20171204_sample_5,33.52,-31.38,37.36,10.76,24.25,12.99
20171204_sample_6,34.38,-32.61,38.88,7.87,23.21,13.35
20171207_sample_1,57.06,-3.56,34.21,15.16,38.07,10.32
20171207_sample_2,56.69,-3.55,40.06,11.18,38.19,9.6
20171207_sample_6,-9.07,-3.05,38.88,14.49,22.72,10.37
20171207_sample_7,-8.98,-3.07,35.95,8.56,22.67,10.17
20171219_sample_1,45.16,-0.51,31.43,11.53,34.82,3.8
20171219_sample_2,45.08,0.11,39.31,11.17,32.51,8.38
20171219_sample_3,42.04,-0.7,32.72,10.83,34.26,4.51
20171219_sample_4,41.18,4.63,,,,
20171219_sample_6,39.46,8.2,37.93,6.74,31.07,10.81
20171219_sample_7,42.09,-0.91,37.09,6.16,32.19,4.84
20171219_sample_8,41.63,3.96,38.31,11.78,32.49,8.93
20180102_sample_1,40.44,8.96,37.16,13.23,32.85,12.01
20180102_sample_2,50.23,-6.88,,,,
20180102_sample_3,28.61,-13.54,32.38,12.99,26.45,9.02
20180102_sample_4,51.07,0.57,35.08,12.69,33.66,9.44
20180102_sample_5,28.84,-10.15,36.5,5.83,29.47,5.91
20180103_sample_1,51.77,0.02,,,,
20180103_sample_2,54.61,-1.01,33.97,15.28,36.89,10.58
20180103_sample_3,25.13,-13.43,,,,
20180103_sample_4,17.54,-19.75,,,,
20180103_sample_5,27.92,-14.34,,,,
20180103_sample_6,26.45,-13.38,,,,
20180103_sample_7,49.25,0.23,37.42,5.62,31.99,5.74
20180103_sample_8,24.78,-19.63,,,,
20180104_sample_1,26.24,-14.22,,,,
20180104_sample_2,39.52,-4.05,,,,
20180104_sample_3,32.66,-9.99,,,,
20180104_sample_4,26.46,-13.16,,,,
20180104_sample_6,31.39,-11.24,38.26,13.23,28.09,10.57
20180105_sample_4,46.86,-1.57,34.9,13.26,30.88,9.09
20180105_sample_5,43.69,-0.21,36.96,3.74,31.92,3.94
20180105_sample_6,29.49,-12.07,34.05,12.87,27.54,9.16
20180108_sample_1,48.37,0.27,,,,
20180108_sample_2,47.53,0.78,,,,
20180108_sample_3,50.32,-2.86,,,,
20180108_sample_4,42.08,8.35,37.71,10.21,33.59,11.92
20180108_sample_5,40.97,11.79,36.34,11.39,35.45,12.57
20180108_sample_7,50.95,-1.89,,,,
20180108_sample_8,53.85,0.25,,,,
20180108_sample_9,16.93,-20.78,35.17,14.2,25.31,9.69
20180108_sample_10,17.49,-20.08,,,,
20180109_sample_1,48.28,1.13,,,,
20180109_sample_2,26.28,-12.15,,,,
20180109_sample_5,28.4,-12.92,,,,
20180110_sample_1,20.7,-16.1,,,,
20180110_sample_2,28.16,-15.61,,,,
20180110_sample_3,44.67,2.38,,,,
20180110_sample_4,29.56,-15.82,,,,
20180110_sample_5,32.66,-16.2,33.67,12.32,25.34,10.72
20180110_sample_7,29.13,-13.35,,,,
20180110_sample_8,43.01,8.57,35.76,12.1,34.08,11.44
20180111_sample_5,20.71,-16.03,32.78,13.9,25.19,8.9
20180115_sample_2,35.0,-14.08,36.16,11.09,26.11,11.27
20180115_sample_5,37.36,-20.63,38.62,15.0,27.28,12.32
20180115_sample_6,55.6,-2.99,,,,
20180115_sample_7,55.35,-2.81,35.09,11.76,36.99,9.67
20180115_sample_8,46.59,1.07,38.23,8.59,32.15,6.89
20180115_sample_9,51.32,-3.26,34.77,9.33,34.15,7.25
20180118_sample_1,54.94,-7.74,36.05,12.57,35.86,7.98
20180118_sample_2,32.63,-9.94,37.04,8.72,29.44,7.6
20180118_sample_4,30.45,-8.18,38.8,5.46,28.83,6.87
20180118_sample_6,45.64,1.12,37.64,7.43,31.96,6.85
20180118_sample_7,54.17,-1.71,36.49,14.35,36.3,10.2
20180118_sample_10,55.12,-1.04,39.53,11.42,36.31,11.18
20180123_sample_1,32.99,-33.17,,,,
20180123_sample_3,39.29,11.83,,,,
20180123_sample_5,30.15,-9.6,34.18,13.97,28.89,9.68
20180123_sample_6,27.03,-30.54,38.07,12.27,25.46,12.63
20180123_sample_7,37.96,11.28,40.21,10.37,32.02,13.66
20180208_sample_1,43.81,6.72,,,,
20180208_sample_2,39.82,10.46,37.09,14.58,33.04,12.56
20180208_sample_3,39.5,9.87,,,,
20180208_sample_4,40.72,5.27,,,,
20180208_sample_5,37.78,10.42,31.95,13.27,34.09,13.33
20180213_sample_3,42.04,9.13,39.57,14.63,33.13,11.05
20180213_sample_5,-52.2,5.09,-33.21,6.74,-27.59,-14.11
20180215_sample_1,-34.37,5.37,-33.43,-2.3,-24.47,-5.99
20180220_sample_1,-18.17,31.14,,,,
20180220_sample_2,33.23,-20.45,32.5,-10.75,30.53,-12.1
20180225_sample_1,37.58,-15.35,36.5,-14.51,25.96,-15.12
20180225_sample_2,26.72,-21.29,,,,
20180225_sample_3,49.37,-5.51,35.82,-3.93,26.64,-5.18
20180225_sample_4,30.46,-13.37,36.89,4.98,28.45,6.31
20180225_sample_5,40.14,8.62,39.61,4.71,31.17,11.51
20180225_sample_7,-55.87,-1.11,,,,
20180228_sample_3,36.41,-29.84,33.44,-17.8,33.16,-17.59
20180306_sample_1,-57.15,-2.67,-13.68,-12.6,-31.23,3.79
20180306_sample_2,29.89,-27.1,36.29,-13.82,31.59,-15.78
20180306_sample_3,26.93,-20.66,37.27,-12.35,28.49,-12.77
20180306_sample_5,35.18,-24.12,33.19,-13.58,30.39,-14.1
20180309_sample_4,30.68,-24.41,38.07,0.64,29.99,-8.6
20180309_sample_6,31.12,-13.07,34.3,-11.5,28.41,-11.0
20180309_sample_7,47.15,2.12,,,,
20180309_sample_8,32.32,-28.77,,,,
20180313_sample_1,,,,,,
20180313_sample_2,38.74,-22.33,37.07,-13.16,30.97,-15.83
20180313_sample_3,36.02,-14.84,33.29,-12.7,26.21,-14.33
20180313_sample_7,32.44,-21.33,35.4,-13.09,27.39,-12.99
20180313_sample_8,41.19,-24.35,,,,
20180313_sample_9,-51.95,-2.42,,,,
20180315_sample_1,44.13,5.9,,,,
20180315_sample_2,31.25,-26.5,,,,
20180315_sample_5,39.66,-19.54,35.72,-8.76,32.25,-11.63
20180315_sample_6,-50.72,-5.75,,,,
20180321_sample_2,34.04,-14.48,,,,
20180321_sample_3,30.74,-19.82,30.79,13.34,23.33,8.41
20180321_sample_4,-12.95,20.42,,,,
20180321_sample_8,23.21,-30.85,35.04,9.61,25.92,14.58
20180321_sample_9,25.85,-30.55,,,,
20180322_sample_1,38.4,-22.3,,,,
20180322_sample_2,34.23,-30.91,33.04,-15.47,33.58,-16.2
20180322_sample_3,30.66,-20.3,,,,
20180322_sample_4,34.55,-13.38,,,,
20180322_sample_5,31.12,-12.55,37.37,7.76,28.27,7.61
20180322_sample_6,40.51,5.9,36.93,16.54,29.84,13.87
20180322_sample_7,35.74,11.86,,,,
20180327_sample_1,-40.34,5.56,-24.99,-4.78,-33.95,-8.01
20180327_sample_2,-46.47,5.54,,,,
20180327_sample_3,33.24,-8.88,32.58,11.82,26.42,8.13
20180327_sample_4,-41.39,-1.58,-24.54,-3.68,-33.07,-8.55
20180327_sample_5,-54.95,-1.69,-26.08,-2.99,-31.08,-8.02
20180327_sample_6,25.08,-12.06,36.97,-10.53,26.47,-10.07
20180329_sample_1,32.58,-8.5,37.95,3.02,29.15,3.3
20180329_sample_2,28.22,-24.82,,,,
20180329_sample_3,32.03,-7.45,,,,
20180329_sample_4,24.72,-15.24,40.74,13.18,28.33,11.73
