cluster_id,cluster_label,cluster_color,subclass_id,subclass_label,subclass_color,class_id,class_label,class_color,cl,cluster_size,size
1,Lamp5 Pax6,#DDACC9,1,Lamp5,#DA808C,1,GABAergic,#F05A28,1,700,700
2,Lamp5 Egln3_1,#FF88AD,1,Lamp5,#DA808C,1,GABAergic,#F05A28,2,618,618
3,Lamp5 Egln3_2,#DD8091,1,Lamp5,#DA808C,1,GABAergic,#F05A28,3,814,814
4,Lamp5 Egln3_3,#F08E98,1,Lamp5,#DA808C,1,GABAergic,#F05A28,4,1276,1276
5,Lamp5 Pdlim5_1,#FF7290,1,Lamp5,#DA808C,1,GABAergic,#F05A28,5,1288,1288
6,Lamp5 Pdlim5_2,#FF8C97,1,Lamp5,#DA808C,1,GABAergic,#F05A28,6,2221,2221
7,Lamp5 Slc35d3,#FFA388,1,Lamp5,#DA808C,1,GABAergic,#F05A28,7,6850,6850
8,Lamp5 Lhx6,#C77963,1,Lamp5,#DA808C,1,GABAergic,#F05A28,8,633,633
9,Sncg Col14a1,#7E0ACB,2,Sncg,#D633FF,1,GABAergic,#F05A28,9,697,697
10,Sncg Slc17a8,#9440F3,2,Sncg,#D633FF,1,GABAergic,#F05A28,10,498,498
11,Sncg Calb1_1,#9611B6,2,Sncg,#D633FF,1,GABAergic,#F05A28,12,321,321
12,Sncg Calb1_2,#9900B3,2,Sncg,#D633FF,1,GABAergic,#F05A28,13,175,175
13,Sncg Npy2r,#7A0099,2,Sncg,#D633FF,1,GABAergic,#F05A28,11,863,863
14,Vip Sncg,#AA4DB5,2,Sncg,#D633FF,1,GABAergic,#F05A28,14,546,546
15,Vip Serpinf1_1,#A720FF,3,Vip,#B864CC,1,GABAergic,#F05A28,15,254,254
16,Vip Serpinf1_2,#AB1DFF,3,Vip,#B864CC,1,GABAergic,#F05A28,16,855,855
17,Vip Serpinf1_3,#FF5FCD,3,Vip,#B864CC,1,GABAergic,#F05A28,17,315,315
18,Vip Htr1f,#FF4DC1,3,Vip,#B864CC,1,GABAergic,#F05A28,18,1940,1940
19,Vip Gpc3,#B09FFF,3,Vip,#B864CC,1,GABAergic,#F05A28,24,1518,1518
20,Vip C1ql1,#BD3D9A,3,Vip,#B864CC,1,GABAergic,#F05A28,25,1838,1838
21,Vip Mybpc1_1,#F70CF3,3,Vip,#B864CC,1,GABAergic,#F05A28,21,803,803
22,Vip Mybpc1_2,#992E81,3,Vip,#B864CC,1,GABAergic,#F05A28,27,2361,2361
23,Vip Mybpc1_3,#AB379C,3,Vip,#B864CC,1,GABAergic,#F05A28,26,1064,1064
24,Vip Chat_1,#FF00FF,3,Vip,#B864CC,1,GABAergic,#F05A28,22,3350,3350
25,Vip Chat_2,#B3128A,3,Vip,#B864CC,1,GABAergic,#F05A28,23,1060,1060
26,Vip Igfbp6_1,#7779BF,3,Vip,#B864CC,1,GABAergic,#F05A28,19,963,963
27,Vip Igfbp6_2,#626EB8,3,Vip,#B864CC,1,GABAergic,#F05A28,20,816,816
28,Sst Chodl,#FFFF00,4,Sst Chodl,#ECD704,1,GABAergic,#F05A28,28,876,876
29,Sst Penk,#FF8011,5,Sst,#FF9900,1,GABAergic,#F05A28,29,497,497
30,Sst Myh8_1,#FF9F2C,5,Sst,#FF9900,1,GABAergic,#F05A28,30,3161,3161
31,Sst Myh8_2,#FFB307,5,Sst,#FF9900,1,GABAergic,#F05A28,32,889,889
32,Sst Myh8_3,#FFBF09,5,Sst,#FF9900,1,GABAergic,#F05A28,33,419,419
