GeneID,exon_bp,intron_bp,gene_bp
0610005C13Rik,3583,3951,7534
0610006L08Rik,2128,32868,34996
0610009B22Rik,998,2491,3489
0610009E02Rik,1803,11892,13695
0610009L18Rik,619,1894,2513
0610010F05Rik,5226,63453,68679
0610012D04Rik,531,1693,2224
0610012G03Rik,1445,0,1445
0610025J13Rik,1121,9273,10394
0610030E20Rik,5832,0,5832
0610033M10Rik,1102,152,1254
0610038B21Rik,3071,3772,6843
0610039K10Rik,952,0,952
0610040B10Rik,2098,1360,3458
0610040F04Rik,2150,81746,83896
0610040J01Rik,2403,84860,87263
0610043K17Rik,770,44629,45399
0710001A04Rik,1345,4033,5378
1010001B22Rik,589,299,888
1010001N08Rik,3035,61589,64624
1110002E22Rik,9998,6457,16455
1110002J07Rik,2513,5257,7770
1110002L01Rik,4131,19003,23134
1110002O04Rik,566,709,1275
1110004F10Rik,2490,63324,65814
1110006O24Rik,768,0,768
1110008E08Rik,723,0,723
1110008P14Rik,2694,2148,4842
1110012L19Rik,1094,2447,3541
1110013H19Rik,671,0,671
1110017D15Rik,1421,10904,12325
1110018N20Rik,1579,2528,4107
1110019B22Rik,1000,2368,3368
1110019D14Rik,1734,171126,172860
1110020A21Rik,1272,39257,40529
1110025M09Rik,855,0,855
1110032A03Rik,5293,7400,12693
1110032F04Rik,2578,0,2578
1110035H17Rik,1241,0,1241
1110038B12Rik,1811,423,2234
1110038F14Rik,1916,558,2474
1110046J04Rik,3487,21128,24615
1110051M20Rik,5202,164435,169637
1110057P08Rik,465,0,465
1110059E24Rik,3067,68708,71775
1110059G10Rik,5594,318,5912
1110060G06Rik,499,0,499
1110065P20Rik,2069,48,2117
1190001M18Rik,1270,0,1270
1190005I06Rik,1083,37948,39031
1190007I07Rik,1197,2181,3378
1190028D05Rik,763,45966,46729
1200007C13Rik,2455,3499,5954
1300002E11Rik,4213,10510,14723
1300014J16Rik,1337,0,1337
1300017J02Rik,4508,50054,54562
1500002C15Rik,2183,0,2183
1500004A13Rik,13854,35751,49605
1500009C09Rik,1904,6453,8357
